Gender,Age,Difficulty,Completion Time (sec),Number Incorrect
Woman,21,1,193,2
Man,43,1,154,6
Man,38,3,298,6
Man,37,3,528,10
Woman,27,2,217,8
Woman,54,1,139,3
Man,42,2,331,3
Woman,22,1,199,0
Woman,33,2,349,2
Man,48,3,327,10
Man,38,1,114,3
Woman,46,1,145,4
Man,24,3,330,4
Man,31,1,111,1
Man,24,2,232,4
Man,45,1,189,4
Woman,51,2,221,8
Man,48,1,192,0
Woman,40,3,327,11
Woman,28,3,310,9
Woman,48,2,289,9
Woman,40,2,303,9
Woman,32,1,117,3
Woman,24,1,192,2
Man,45,3,575,5
Man,40,1,147,4
Man,31,3,331,4
Woman,51,3,479,4
Woman,54,2,330,1
Man,30,3,446,10
Woman,29,2,360,6
Man,48,2,228,10
Man,49,2,271,6
Woman,29,1,155,1
Man,43,3,595,12
Woman,23,1,105,4
Man,42,1,143,3
Woman,24,3,524,13
Man,43,3,372,9
Man,30,3,355,10
Woman,46,1,170,1
Woman,25,3,523,5
Man,50,1,163,0
Woman,32,3,407,5
Man,33,3,508,4
Man,35,2,399,9
Man,40,2,412,1
Man,41,3,398,5
Man,35,2,318,1
Man,29,2,248,1
Woman,46,1,157,0
Man,25,1,173,1
Woman,24,1,131,3
Man,33,3,320,3
Man,23,1,164,5
Woman,39,3,331,4
Woman,48,2,229,2
Woman,32,3,504,4
Man,24,1,186,1
Man,51,1,140,5
Woman,41,2,313,2
Man,52,3,369,8
Man,31,1,204,0
Man,31,3,500,13
Man,48,3,326,7
Man,41,3,312,4
Man,42,3,570,3
Man,38,1,145,0
Woman,25,3,559,9
Man,33,1,150,2
Man,45,3,443,8
Woman,35,3,378,4
Woman,54,2,317,5
Man,40,3,427,8
Woman,53,1,173,4
Non-binary,38,3,480,3
Woman,23,3,595,7
Man,24,3,527,3
Man,30,2,379,6
Man,25,1,111,5
Man,53,2,353,1
Man,35,1,159,2
Man,36,2,327,3
Man,32,2,404,3
Man,51,2,346,1
Woman,48,1,195,1
Other,48,2,401,1
Woman,53,1,163,2
Man,23,3,431,4
Man,26,2,372,4
Woman,40,2,276,4
Woman,26,3,448,5
Man,50,2,228,7
Man,49,2,369,5
Woman,38,2,224,1
Man,39,1,203,3
Woman,45,3,432,7
Man,41,1,182,3
Woman,34,3,430,4
Woman,34,2,400,3
Non-binary,39,2,362,2
Woman,21,1,132,4
Man,47,2,321,4
Woman,33,3,490,11
Non-binary,27,2,322,5
Woman,38,2,210,3
Woman,27,3,524,5
Woman,41,3,532,4
Woman,28,2,238,1
Man,26,1,188,0
Woman,38,1,121,4
Woman,46,3,495,12
Woman,40,3,416,11
Woman,29,2,296,2
Woman,35,3,546,3
Woman,40,1,113,0
Man,33,3,586,4
Man,22,1,136,2
Man,39,3,543,8
Man,28,3,370,13
Woman,23,1,143,4
Man,37,2,260,1
Woman,48,3,433,14
Woman,45,1,126,3
Man,46,2,292,7
Woman,25,1,183,5
Woman,26,1,188,1
Woman,40,2,226,5
Woman,21,3,421,7
Man,43,2,353,1
Man,31,2,361,3
Woman,44,2,276,4
Woman,31,3,410,12
Man,46,3,478,4
Woman,42,1,106,6
Woman,51,2,247,7
Man,32,3,316,7
Woman,51,2,383,9
Woman,22,1,133,0
Woman,52,1,188,6
Man,35,2,210,1
Woman,42,1,119,3
Woman,49,3,575,5
Non-binary,24,1,142,5
Man,53,1,107,3
Non-binary,42,1,139,5
Man,26,1,151,6
Man,38,3,431,8
Man,50,2,216,3
Woman,46,1,191,6
Man,48,3,457,10
Woman,34,3,391,11
Man,37,1,143,0
Woman,43,1,124,3
Woman,50,2,219,8
Man,43,1,169,0
Other,45,1,176,0
Woman,51,3,314,4
Man,30,1,168,5
Man,38,3,588,5
Man,31,1,185,2
Man,30,1,107,2
Woman,35,2,262,7
Man,31,1,203,3
Man,36,1,135,1
Man,28,1,110,2
Woman,52,3,446,5
Man,31,2,335,3
Man,31,3,354,7
Man,26,3,478,4
Woman,29,3,456,4
Woman,42,3,390,6
Non-binary,38,1,196,1
Woman,25,1,185,5
Man,37,3,385,3
Man,32,2,220,9
Non-binary,35,2,350,7
Man,35,2,390,11
Woman,41,3,547,9
Woman,44,1,155,1
Man,38,1,175,0
Man,51,1,107,1
Woman,38,3,524,12
Woman,26,2,357,1
Woman,35,1,206,3
Man,33,3,506,3
Man,39,2,398,0
Non-binary,24,1,132,1
Woman,48,3,394,4
Man,54,3,318,4
Woman,48,2,323,2
Man,25,2,321,6
Woman,34,2,215,6
Man,45,3,467,9
Woman,45,3,511,4
Woman,21,2,217,1
Woman,25,2,347,7
Man,53,2,239,7
Woman,21,1,185,4
Woman,26,3,418,11
Man,36,1,107,5
Other,42,3,473,3
Woman,41,3,567,6
Man,22,2,346,1
Man,36,1,195,5
Woman,38,2,226,2
Woman,36,3,302,5
Woman,30,1,156,5
Woman,39,2,349,6
Man,22,1,125,5
Man,37,1,146,1
Woman,48,1,163,1
Woman,48,2,278,4
Woman,49,2,303,4
Woman,25,2,374,1
Man,54,3,571,7
Man,34,2,387,1
Woman,26,3,404,11
Man,44,1,129,3
Man,28,3,402,7
Woman,40,3,454,9
Man,30,3,409,8
Man,35,2,341,6
Woman,44,3,449,10
Man,39,2,242,1
Non-binary,42,3,574,12
Man,54,3,561,11
Woman,50,3,471,11
Woman,33,3,494,4
Man,26,3,534,7
Woman,40,3,491,8
Man,40,1,164,1
Woman,45,1,171,1
Non-binary,48,3,302,4
Non-binary,33,3,589,10
Woman,53,1,106,5
Man,42,2,230,5
Woman,52,3,451,4
Woman,29,1,206,1
Woman,46,2,281,1
Woman,50,1,109,5
Man,45,1,193,3
Man,26,1,111,3
Woman,43,2,253,2
Man,29,2,358,5
Man,31,2,405,2
Woman,26,3,488,6
Man,44,2,256,8
Man,33,2,291,2
Man,36,3,483,5
Other,42,1,200,2
Non-binary,42,3,538,12
Man,25,3,307,4
Man,40,3,596,9
Man,31,1,109,2
Woman,54,2,372,4
Man,25,3,522,6
Woman,25,3,431,6
Woman,44,1,154,5
Man,37,2,342,3
Woman,47,3,299,6
Woman,36,1,155,1
Woman,42,3,357,8
Man,47,2,271,7
Woman,23,1,155,2
Man,52,1,175,5
Man,54,2,325,7
Man,36,3,441,4
Woman,36,1,199,2
Man,51,2,353,10
Woman,29,2,325,0
Woman,51,2,231,5
Man,38,2,275,6
Woman,30,3,520,9
Man,23,2,315,1
Man,27,1,129,2
Man,50,1,130,1
Man,42,3,325,4
Man,39,1,115,3
Man,53,3,509,9
Man,21,2,345,2
Man,42,3,492,8
Woman,52,1,198,2
Man,38,2,357,9
Woman,21,1,152,4
Woman,22,2,232,6
Man,34,2,396,8
Man,33,1,147,4
Woman,37,2,329,0
Woman,54,1,110,6
Woman,45,1,120,4
Man,32,1,166,6
Man,54,1,108,3
Man,28,2,297,0
Man,33,2,398,0
Man,47,2,365,3
Man,29,2,361,8
Woman,41,3,391,9
Woman,49,1,134,2
Man,26,1,173,0
Man,49,3,308,9
Man,36,2,240,5
Non-binary,31,1,204,3
Woman,30,2,222,6
Man,44,1,130,2
Woman,38,3,515,4
Woman,22,3,390,6
Woman,30,2,382,7
Woman,25,3,314,12
Woman,32,3,326,3
Man,25,1,109,2
Man,28,3,455,13
Woman,27,3,521,4
Woman,51,1,146,4
Man,34,1,181,5
Man,35,1,204,0
Woman,27,3,533,9
Man,39,3,391,10
Woman,35,3,382,12
Woman,37,2,343,1
Woman,21,2,237,2
Man,38,3,397,7
Man,38,2,317,9
Woman,39,2,220,1
Woman,41,2,317,2
Woman,46,1,129,0
Woman,32,1,138,3
Woman,33,2,225,5
Man,43,1,125,6
Woman,36,1,146,2
Man,37,3,450,9
Man,24,2,275,6
Woman,48,3,455,11
Woman,27,1,171,1
Man,53,1,109,5
Man,54,3,546,5
Woman,52,3,440,10
Woman,34,2,265,4
Man,25,1,156,1
Man,52,1,176,1
Man,45,2,209,6
Non-binary,53,3,563,4
Man,27,1,183,0
Woman,52,3,400,8
Woman,45,1,195,2
Woman,46,2,372,2
Woman,21,2,411,7
Woman,31,2,250,3
Woman,47,3,528,4
Woman,31,2,292,3
Woman,24,3,322,8
Man,22,1,138,0
Woman,46,1,147,6
Woman,28,1,173,3
Other,34,1,128,6
Man,24,3,584,6
Man,31,2,247,10
Woman,28,1,141,3
Man,44,3,538,4
Woman,37,2,205,6
Non-binary,29,2,413,6
Woman,22,2,386,7
Man,37,1,158,2
Man,36,2,331,5
Man,25,3,582,4
Man,35,3,339,4
Woman,49,2,225,1
Non-binary,27,2,335,3
Woman,41,3,394,10
Woman,38,3,564,8
Man,39,3,448,4
Woman,36,3,431,8
Woman,45,1,108,3
Woman,40,3,498,5
Non-binary,25,1,192,4
Woman,49,1,134,0
Woman,53,2,367,7
Man,53,3,546,14
Woman,50,1,131,1
Man,51,2,401,1
Man,26,3,525,8
Woman,54,2,284,9
Man,49,1,193,5
Non-binary,43,2,407,8
Woman,45,2,219,6
Man,44,1,182,5
Man,52,2,253,7
Man,41,1,176,4
Non-binary,45,2,252,4
Woman,26,2,326,0
Woman,23,2,383,5
Non-binary,22,1,163,5
Woman,43,2,273,3
Man,22,2,333,5
Man,41,1,153,4
Man,38,3,415,12
Woman,44,1,171,1
Man,39,3,506,4
Woman,53,3,565,9
Man,54,3,400,9
Man,39,2,246,7
Man,23,3,311,11
Man,25,3,398,9
Non-binary,46,2,311,8
Woman,22,1,114,5
Man,29,2,269,2
Woman,41,1,180,1
Man,26,3,519,6
Woman,26,1,192,3
Woman,43,2,211,3
Woman,22,2,274,5
Man,38,3,422,8
Woman,31,3,437,4
Woman,43,2,326,1
Other,35,1,199,0
Man,26,1,130,5
Woman,45,1,178,4
Man,34,2,244,3
Man,31,3,467,10
Man,43,1,112,5
Man,48,3,376,5
Man,42,3,471,10
Woman,32,3,536,4
Other,25,2,286,1
Woman,49,2,384,7
Man,37,1,137,1
Man,51,3,464,4
Man,54,2,204,2
Woman,51,2,287,1
Woman,33,2,403,7
Woman,42,1,105,6
Man,40,1,125,4
Man,28,3,342,4
Woman,54,3,574,4
Man,33,2,364,9
Woman,43,1,170,3
Man,26,3,354,4
Man,51,2,203,1
Man,38,1,166,2
Woman,35,2,412,1
Woman,29,2,308,4
Man,45,1,153,2
Man,28,1,188,5
Man,54,1,166,6
Woman,37,2,305,4
Man,22,1,174,1
Woman,44,3,424,4
Man,24,1,160,5
Man,39,1,195,3
Non-binary,29,3,420,10
Woman,42,1,135,4
Woman,37,1,156,1
Man,32,3,325,4
Woman,30,2,219,1
Man,40,3,584,14
Woman,50,1,170,1
Man,34,3,564,11
Man,24,2,347,0
Non-binary,36,1,167,4
Non-binary,53,2,353,7
Woman,44,2,211,4
Man,27,3,550,10
Man,37,2,315,1
Man,41,2,273,8
Woman,31,2,323,3
Woman,34,3,569,4
Man,37,1,153,1
Woman,24,2,250,1
Non-binary,23,1,182,4
Woman,36,3,454,11
Man,24,3,538,4
Other,49,1,161,5
Woman,39,1,109,5
Woman,43,3,561,8
Man,26,1,157,3
Woman,26,1,147,2
Woman,52,2,399,1
Man,53,2,243,5
Woman,28,1,121,6
Woman,32,1,119,0
Man,38,2,362,0
Woman,52,2,273,3
Woman,40,2,349,5
Man,46,3,318,6
Man,30,1,184,3
Man,25,2,218,5
Man,52,2,341,7
Non-binary,30,2,236,7
Woman,22,1,191,2
Man,39,1,152,5
Woman,36,3,538,13
Man,22,1,119,3
Woman,22,3,364,4
Woman,29,2,233,5
Woman,31,2,382,5
Man,24,2,249,2
Man,21,2,356,2
Man,47,1,125,3
Non-binary,54,2,252,2
Woman,22,1,106,0
Woman,43,2,230,8
Other,42,1,158,2
Man,45,1,107,5
Man,38,3,417,6
Man,42,3,577,9
Other,26,2,388,5
Woman,35,2,307,3
Woman,54,3,356,5
Woman,35,1,119,6
Man,43,3,466,7
Woman,35,1,154,5
Man,43,2,272,4
Man,32,1,135,1
Man,54,1,191,1
Man,36,2,353,7
Man,47,1,113,5
Man,50,2,366,11
Woman,24,1,189,6
Other,27,3,382,9
Woman,54,3,404,9
Woman,39,1,115,2
Woman,32,2,343,7
Man,33,3,311,5
Man,52,1,148,1
Man,54,2,393,2
Man,48,2,397,1
Man,34,1,161,2
Woman,53,2,310,1
Woman,48,3,327,10
Woman,44,1,178,4
Woman,48,3,494,4
Woman,46,2,223,2
Man,35,1,199,3
Woman,44,1,109,5
Man,35,1,119,5
Woman,54,3,332,6
Non-binary,30,1,150,6
Woman,47,3,455,4
Man,30,3,314,9
Woman,40,3,468,4
Man,38,3,544,4
Woman,32,3,432,9
Man,51,3,576,9
Man,28,2,402,2
Other,50,3,432,11
Woman,24,2,232,4
Woman,39,3,323,3
Man,36,3,551,6
Non-binary,40,3,479,8
Woman,30,1,143,5
Woman,54,2,371,7
Woman,45,2,335,9
Woman,39,1,192,6
Man,47,3,501,3
Woman,40,1,147,6
Woman,26,2,317,8
Man,53,1,174,1
Woman,35,1,191,2
Man,23,1,149,1
Man,44,3,527,6
Man,40,2,353,1
Man,42,3,471,6
Woman,48,3,560,6
Man,47,3,520,7
Woman,53,1,193,1
Woman,47,2,269,8
Woman,49,2,235,1
Man,32,1,194,3
Man,27,2,241,2
Non-binary,40,2,210,11
Man,37,1,113,3
Man,28,2,334,1
Woman,36,1,171,4
Woman,31,1,196,1
Man,30,2,409,1
Man,42,3,340,9
Woman,25,2,331,4
Woman,38,1,157,1
Woman,41,2,354,9
Woman,41,1,133,2
Woman,50,1,199,2
Woman,34,2,296,9
Man,37,2,342,1
Man,22,1,170,0
Man,52,2,225,1
Man,28,2,369,3
Man,51,2,391,7
Woman,53,1,172,2
Woman,41,3,408,10
Man,38,1,166,6
Man,30,2,380,9
Woman,32,1,129,2
Woman,36,3,547,4
Woman,43,2,364,6
Woman,41,2,400,3
Man,52,1,164,0
Man,42,3,368,10
Man,22,3,401,8
Woman,34,1,198,6
Man,37,1,131,0
Man,37,1,140,3
Woman,36,1,145,6
Woman,49,2,290,0
Woman,46,1,149,5
Man,48,3,561,8
Man,24,1,140,3
Man,29,1,143,6
Woman,39,2,410,1
Man,24,2,292,9
Man,27,3,431,10
Other,26,3,538,11
Man,43,3,442,7
Non-binary,50,1,200,1
Woman,44,2,316,1
Woman,50,3,415,10
Woman,27,2,398,2
Woman,32,3,532,9
Man,50,3,359,6
Woman,37,2,365,1
Man,31,2,340,2
Woman,27,2,413,3
Woman,28,1,161,1
Man,41,2,270,4
Woman,37,3,554,10
Woman,50,1,148,4
Man,38,2,254,3
Non-binary,43,3,390,14
Woman,45,1,115,6
Man,25,3,584,12
Man,47,1,121,1
Man,42,2,273,1
Woman,26,1,150,0
Man,39,1,124,4
Man,32,2,232,5
Man,36,2,321,6
Woman,31,2,244,3
Man,35,2,320,2
Woman,24,3,438,4
Man,36,3,345,13
Woman,54,2,396,3
Woman,29,1,144,1
Man,52,2,338,11
Woman,30,2,390,1
Woman,50,1,154,1
Woman,24,3,385,4
Man,25,1,165,5
Man,52,3,578,5
Woman,30,1,199,0
Man,45,3,595,4
Woman,26,3,360,10
Woman,30,1,175,5
Man,36,2,347,5
Man,37,1,149,1
Woman,23,3,502,4
Non-binary,52,3,388,4
Woman,50,3,535,4
Man,26,1,118,6
Woman,36,1,136,2
Woman,53,2,266,0
Woman,54,3,326,9
Man,30,3,399,4
Woman,53,2,335,7
Woman,35,3,488,14
Man,49,3,442,4
Woman,38,2,224,4
Woman,44,2,285,2
Man,36,3,391,10
Man,41,1,181,4
Woman,47,1,186,0
Woman,42,2,283,6
Man,28,1,194,6
Woman,42,1,137,5
Woman,42,2,368,2
Man,24,1,184,5
Man,48,3,461,9
Woman,52,2,390,3
Woman,45,1,178,6
Man,21,2,360,5
Man,36,1,111,4
Man,28,3,505,7
Woman,27,2,266,4
Woman,25,1,185,4
Man,41,2,329,6
Woman,30,3,319,4
Woman,24,2,291,7
Other,50,3,420,12
Woman,51,3,453,10
Woman,37,2,328,5
Man,37,1,204,0
Man,26,3,460,4
Man,29,2,319,5
Man,39,2,337,6
Woman,53,3,309,8
Woman,30,3,566,4
Man,24,2,227,10
Man,36,2,229,7
Man,51,3,532,6
Woman,54,1,189,1
Woman,38,2,319,0
Man,50,1,106,5
Man,52,2,250,5
Man,21,3,374,14
Man,28,3,516,7
Man,46,2,311,2
Man,21,2,315,1
Man,46,1,109,4
Man,47,3,335,11
Man,23,2,301,11
Woman,28,3,386,5
Man,28,2,233,3
Woman,51,2,363,4
Woman,25,2,405,7
Woman,32,2,412,11
Man,37,1,149,5
Man,48,1,151,2
Non-binary,34,3,413,10
Woman,36,1,176,2
Woman,34,3,562,6
Woman,30,3,460,5
Woman,27,2,386,9
Man,29,3,529,4
Woman,50,1,162,1
Man,24,2,352,6
Woman,33,3,340,9
Woman,48,1,151,4
Woman,32,1,134,5
Woman,31,1,160,3
Woman,45,3,321,10
Man,50,2,404,2
Man,43,3,414,3
Non-binary,23,3,474,4
Woman,54,3,508,10
Woman,39,3,563,6
Woman,41,2,304,1
Woman,26,2,275,1
Man,31,2,339,1
Woman,39,3,536,7
Man,41,3,450,12
Woman,51,3,319,4
Woman,49,3,504,3
Man,52,3,551,10
Man,40,2,307,4
Woman,40,2,258,1
Man,35,2,344,2
Woman,21,2,339,10
Man,44,1,204,6
Woman,21,1,135,2
Man,48,2,264,1
Man,36,1,186,0
Man,24,1,192,0
Woman,38,1,164,1
Woman,42,3,559,4
Man,32,1,112,6
Woman,30,2,335,8
Woman,41,3,426,7
Woman,47,1,162,6
Non-binary,24,1,148,4
Man,34,1,125,6
Woman,37,1,143,6
Non-binary,44,3,495,5
Man,24,3,559,5
Man,28,2,284,3
Man,26,1,167,5
Woman,31,3,344,14
Man,44,2,291,4
Man,35,1,157,4
Man,54,1,127,2
Other,28,2,216,3
Woman,45,2,276,2
Woman,36,2,369,8
Woman,27,3,380,5
Man,35,2,405,7
Woman,32,1,203,3
Woman,45,1,173,4
Woman,38,2,360,8
Woman,50,1,180,1
Woman,51,1,201,6
Woman,25,1,122,1
Man,39,2,387,2
Man,53,1,144,3
Woman,52,1,119,3
Woman,41,3,468,4
Woman,48,1,124,5
Man,22,2,361,4
Woman,50,1,184,5
Man,42,1,129,4
Woman,29,1,179,2
Woman,32,1,190,6
Woman,37,1,154,2
Other,26,1,165,5
Man,29,1,188,2
Woman,36,3,415,8
Man,21,2,310,2
Man,29,1,175,2
Woman,52,2,235,1
Woman,30,3,323,8
Man,28,3,535,4
Woman,38,3,452,7
Man,36,1,164,0
Woman,50,3,488,10
Non-binary,50,3,417,12
Woman,23,1,127,6
Man,33,1,120,2
Non-binary,31,3,429,9
Woman,29,1,131,6
Man,44,2,208,3
Woman,28,2,239,5
Man,35,3,304,3
Man,51,2,228,0
Man,50,1,168,1
Woman,47,1,133,3
Man,48,1,161,6
Woman,25,1,148,4
Man,50,3,456,9
Non-binary,46,3,300,8
Man,29,3,530,6
Woman,44,1,194,4
Non-binary,32,2,254,2
Man,40,2,248,7
Woman,26,3,436,8
Woman,24,1,111,4
Woman,32,3,583,6
Woman,32,2,411,6
Woman,28,3,375,7
Man,30,1,169,5
Non-binary,21,3,420,4
Man,49,2,384,1
Man,36,2,376,6
Non-binary,40,2,312,9
Man,27,3,447,10
Man,44,3,546,3
Woman,54,3,326,8
Woman,49,1,194,6
Woman,40,2,220,1
Man,33,1,159,1
Woman,36,1,106,6
Man,31,1,123,1
Man,29,1,105,0
Man,46,2,330,10
Woman,34,1,105,2
Woman,50,2,271,7
Woman,31,3,353,3
Man,29,2,381,4
Man,25,3,306,4
Man,53,2,392,1
Man,36,3,581,9
Man,24,2,252,1
Woman,51,3,371,9
Man,21,1,194,2
Man,36,3,438,7
Woman,35,1,146,1
Man,26,3,497,4
Man,44,3,442,8
Woman,28,3,588,11
Woman,24,2,221,4
Woman,21,3,555,6
Man,38,1,139,0
Woman,50,2,367,9
Woman,29,1,112,1
Woman,48,2,366,1
Non-binary,36,1,167,1
Non-binary,26,2,353,5
Man,36,3,424,12
Non-binary,37,1,185,1
Man,33,3,544,9
Woman,22,1,141,6
Woman,53,1,132,0
Man,51,3,563,9
Man,31,2,272,8
Woman,32,1,113,0
Woman,51,1,161,2
Man,39,2,336,1
Man,48,2,329,7
Woman,30,1,146,5
Woman,27,3,364,9
Woman,26,3,458,3
Woman,25,3,309,4
Woman,54,2,216,4
Man,53,1,114,2
Non-binary,24,2,254,5
Non-binary,21,3,432,4
Man,32,3,343,9
Woman,25,3,383,6
Man,30,2,207,4
Woman,27,2,345,1
Woman,28,1,143,4
Woman,40,1,140,6
Woman,45,1,135,4
Woman,31,3,422,10
Man,37,2,379,3
Woman,23,1,174,0
Man,38,2,314,7
Man,41,1,184,2
Woman,30,1,116,4
Non-binary,52,2,351,6
Man,31,2,395,8
Woman,27,1,146,4
Woman,46,2,234,11
Man,36,1,202,5
Man,28,3,569,8
Woman,49,3,499,5
Woman,39,3,327,7
Man,51,2,209,6
Non-binary,42,1,114,0
Woman,43,3,561,7
Woman,22,2,231,4
Woman,54,2,357,6
Woman,32,1,121,0
Woman,51,1,113,1
Man,24,1,133,0
Man,39,2,223,5
Man,21,1,129,6
Woman,28,1,131,0
Man,50,2,325,7
Woman,31,2,253,7
Woman,40,1,174,6
Woman,54,2,383,1
Woman,47,1,106,4
Woman,43,3,533,14
Man,43,3,552,9
Woman,52,1,165,0
Woman,34,1,190,6
Man,31,1,132,0
Woman,42,3,355,5
Woman,45,2,246,1
Woman,29,3,305,6
Woman,27,1,205,3
Woman,39,3,347,3
Man,29,1,201,3
Woman,40,2,233,0
Man,36,2,300,8
Man,32,2,299,0
Man,53,1,176,5
Woman,29,3,521,13
Man,35,1,155,5
Woman,36,2,402,9
Woman,28,3,308,4
Man,53,1,108,0
Woman,39,3,311,5
Man,32,2,306,8
Woman,32,3,316,4
Man,41,3,416,12
Man,48,2,210,3
Non-binary,48,1,154,5
Man,21,2,347,6
Man,29,3,495,9
Woman,22,3,523,10
Man,52,3,446,11
Woman,48,1,194,1
Man,54,3,300,3
Man,35,2,367,4
Woman,27,3,385,3
Woman,48,3,559,8
Other,50,2,413,1
Woman,38,1,185,0
Woman,40,2,324,10
Woman,29,3,332,8
Woman,49,1,130,1
Woman,22,3,433,10
Woman,28,3,374,7
Man,28,2,408,7
Man,53,2,354,2
Woman,34,2,234,6
Woman,34,1,114,1
Woman,31,2,234,1
Woman,26,2,275,3
Man,53,3,299,5
Woman,33,3,335,8
Man,36,3,553,7
Man,41,2,232,3
Woman,29,3,356,13
Man,52,1,151,3
Woman,21,2,388,2
Woman,27,1,177,4
Woman,31,3,435,4
Other,34,2,331,5
Non-binary,37,2,352,5
Woman,35,3,439,7
Woman,33,3,304,5
Man,39,1,170,3
Woman,25,3,513,4
Woman,49,3,397,4
Woman,28,2,267,10
Man,27,1,109,6
Man,30,2,387,6
Woman,43,1,189,2
Woman,21,2,319,10
Woman,38,2,333,6
Woman,39,3,335,10
Woman,45,3,317,11
Woman,24,3,474,7
Man,33,1,145,5
Non-binary,54,3,542,11
Non-binary,47,1,206,3
Non-binary,41,2,411,1
Woman,28,3,475,6
Man,23,1,159,1
Man,53,1,142,5
Man,24,2,229,1
Woman,48,3,343,3